Question,A,B,C,D,E,index,Answer,explaination
" A 29-year-old presents with a painless, sternal mass. H&E photomicrograph is shown below. Which of the following is the most likely diagnosis?",A. Rhabdomyoma,B. Lipoma,C. Angiolipoma,D. Fibroma,E. Hibernoma,539.0,E. Hibernoma,"Hibernoma is a benign, brown fat tumor. It is a slow growing tumor and common in males. Hibernoma has predilections for the limbs and trunk. On light micros - copy, tumor consists of cells with eosinophilic cyto - plasm and several small vacuoles."
 Radiograph of the skull with punched out radiolucent lesions are seen. What is the diagnosis? Punched out lesions,"A. Primary (malignant) lymphoma of bone20 Bones, Joints, and Soft Tissue Disorders 161",B. Multiple myeloma,C. Metastatic bone disease,D. Monoclonal gammopathies of undetermined significance,E. Waldenstrom macroglobulinemia,540.0,B. Multiple myeloma,"Neoplastic proliferation of plasma cells producing a monoclonal immunoglobulin causes multiple myeloma. There is a proliferation of plasma cells in the bone mar - row resulting in extensive skeletal osteolytic lesions. Multiple myeloma patients present with increased total serum protein concentration, anemia, hypercalcemia, and acute renal failure."
 Photographs with symmetric bowing of the femurs and tibias are shown below. What is the diagnosis?,A. Hypophosphatasia,B. Metaphyseal dysostosis,C. Rickets,D. Blount syndrome,E. Fanconi syndrome,541.0,C. Rickets,"Vitamin D is essential for phosphorus and calcium homeostasis. Risk factors include inadequate sun expo - sure and inadequate intake. The clinical manifestations include frontal bossing, craniotabes. There is also an enlargement of the costochondral junction leading to deformity (rachitic rosary), and bowing of legs. There is an excess of unmineralized osteoid matrix and epiphy - seal cartilage due to vitamin D deficiency."
 Which of the following diseases is because of type-I col - lagen defect?,A. Rickets,B. Osteopetrosis,C. Osteogenesis imperfecta,D. Osteomalacia,E. Wilson disease,542.0,C. Osteogenesis imperfecta,"Osteogenesis imperfecta (OI) is caused by impaired synthesis of type 1 collagen. In most patients, it is inher - ited as an autosomal dominant disorder. Type 1 collagen defect causes brittle bones that are prone to fractures with minimal or no trauma. Besides fractures clinical manifestations include skull deformities, increased lax - ity of the joints and skin, easy bruisability, hearing loss, blue sclera, and small malformed teeth."
 A 32-year-old male presents with a slow growing maxil - lary mass. Excisional biopsy is done by an oral surgeon. H&E photomicrograph is shown below. What is the diagnosis?,A. Calcifying aponeurotic fibroma,B. Osteofibrous osteosarcoma,C. Fibrous dysplasia,D. Fibroblastic osteosarcoma,E. Dermatofibrosarcoma protuberans,543.0,C. Fibrous dysplasia,"Fibrous dysplasia is common in males between 20 and 40 age range. Light microscopy shows curvilinear irregular trabeculae of metaplastic bony islands without osteoblastic rimming and surrounding interstitial fibrous stroma. It is a medullary lesion involving the craniofa - cial bones, femur, or ribs."
 A 24-year-old male presents to his physician office with a large mass in his left thigh. Wide surgical excision is done. Microscopic pictures are shown below. What is the diagnosis?,A. Leiomyosarcoma,B. Desmoid tumor,C. Myxoid liposarcoma,D. Dermatofibroma,E. Nodular fasciitis,544.0,B. Desmoid tumor,"Desmoid tumor may be extra abdominal, abdominal, or intra-abdominal. Patients present as large, infiltrative masses which may be painful. Histologically, the tumor is composed of plump fibroblasts arranged in fascicles and infiltrating the adjacent tissue."
" A 29-year-old male presents with pain and swelling of his left knee for 10 months. Physical examination, plain radiographs, and laboratory studies are unremarkable. CT reveals an enhancing soft tissue mass of heteroge - neous density. What is the diagnosis?",A. Synovial sarcoma,B. Ewing sarcoma,C. Myxoid chondrosarcoma,D. Clear cell sarcoma,E. Rhabdomyosarcoma.,545.0,A. Synovial sarcoma,"Synovial sarcoma occurs commonly between the ages of 20 and 50. The lower extremity is the most com - mon site. Synovial sarcoma may be biphasic or mono - phasic. Biphasic synovial sarcoma is composed of spindle and epithelial cells. Monophasic tumors are composed of spindle cell components. The prognosis is poor. 5 year, survival rate is between 30 and 60%."
 A 39-year-old man presents with a small nodule of 4 cm on the right forearm. The nodule has grown rapidly over the last 3  weeks. Excision of the nodule is done and H&E photomicrograph is shown below. Which of the following is the most likely diagnosis? ,A. Solitary fibrous tumor,B. Neurofibroma,C. Nodular fasciitis,D. Keloid scar,E. Fibrosarcoma,546.0,C. Nodular fasciitis,"Nodular fasciitis is a reactive process and its rapid growth helps distinguish this highly cellular lesion from sarcomatous tumors. On light microscopy, different zones are identifiable: a peripheral capillary rich zone, an intermediate myxoid area, and a central hypocellular core. Cellular components are heterogeneous which include fibroblasts, myofibroblasts, inflammatory cells, and vascular endothelial cells."
 A 26-year-old male presents with right knee pain. The pain has worsened since an injury to the right knee 2 months back while playing football. X-ray shows well circumscribed lesion on the epiphyseal plate of the right knee. The biopsy is shown below. What is the diagnosis?,A. Osteochondroma,B. Chondromyxoid fibroma,C. Chondrosarcoma,D. Osteoblastoma,E. Chondroblastoma.,547.0,E. Chondroblastoma,"Chondroblastoma is a benign cartilage tumor. It is more common in males between second and third decades. Skeleton distribution is epiphysis of femur, tibia, and humerus bones. Light microscopy shows biphasic pattern. Tumor cells are oval chondroblasts with abundant cytoplasm. Matrix is cobblestone with pink to blue cartilage. The presence of chicken wire shaped calcifications is a diagnostic feature. Chicken wire calcifications signify chondroid differentiation."
" A 40-year-old patient comes to the physician office with symptoms of pain in the spine, fever, night sweats, and weight loss. On physical examination, there is spinal tenderness upon palpation of the thora - columbar junction. A biopsy of lumbar vertebra (L1) is done. H&E microscopic findings are shown below. What is the diagnosis?",A. Pyogenic osteomyelitis,B. Spinal cord abscess,C. Spinal tumor,D. Tuberculous osteomyelitis,E. Multiple myeloma,548.0,D. Tuberculous osteomyelitis,"The most common form of skeletal tuberculosis is tuberculous spondylitis (Pott’s disease). Lower thoracic and upper lumbar region are commonly affected. Patients present with local pain, and abnormal erect posture."
 Heberden’s nodes and Bouchard’s nodes are found in which of the following bone disease?,A. Rheumatoid arthritis,B. Osteoarthritis,C. Ankylosing spondylitis,D. Psoriatic arthritis,E. Gout,549.0,B. Osteoarthritis,"Osteoarthritis (OA) is the most common form of arthritis. There is progressive erosion of articular carti - lage. Osteoarthritis has a predilection for the knees, hips, interphalangeal joints. Heberden’s and Bouchard’s nodes with the underlying interphalangeal Osteoarthritis make up nodal osteoarthritis. Women are frequently affected around the menopause. Heberden’s nodes are bony growths on distal interphalangeal joints (DIP) close to fingernail. Bony bumps on the middle joint of the finger (PIP joint) are called Bouchard’s nodes."
 Deposition of calcium pyrophosphate crystals are found in which of the following bone diseases?,A. Pseudogout,B. Gout,C. Lyme disease,D. Ankylosing spondylitis,E. Psoriatic arthritis,550.0,A. Pseudogout,"Pseudogout is an attack of inflammatory arthritis caused by calcium pyrophosphate crystal (CPP) deposi - tion in synovial fluid. CPP crystal arthritis is more com - mon in men. Patients present with pain, joint swelling, and erythema. The presence of rhomboid-shaped cal - cium pyrophosphate crystals in synovial fluid analysis is diagnostic for pseudogout. CPP deposition conse - quences include acute inflammatory arthritis, inflamma - tory, and degenerative chronic arthropathies. Crystal pyrophosphate deposition (CPPD) diseases are pseudog - out and chondrocalcinosis. Acute CPP crystal arthritis causes acute or subacute arthritis. In acute CPP crystal arthritis, the knee joint is involved in approximately 50% of cases. First episodes of acute CPP crystal arthritis per - sist longer."
Which muscular dystrophy is the cause of mutations in the dystrophin gene?,A. Becker muscular dystrophy,B. Guillain–Barre syndrome,C. Duchenne muscular dystrophy,D. Inflammatory myopathies,E. Dermatomyositis,551.0,C. Duchenne muscular dystrophy,"Duchenne muscular dystrophy (DMD) is a complete loss of dystrophin gene on chromosome Xp21. Duchenne 21 Peripheral Nerves and Skeletal Muscles 171 muscular dystrophy is essential for membrane integrity in skeletal muscle. It is inherited as an X-linked reces - sive trait. Patients present with weakness with difficulty in ambulation. Affected patients become wheelchair bound. Common complications are orthopedic and car - diac. Death occurs due to respiratory muscle weakness or cardiomyopathy usually in the twenties. Patients may also exhibit the Gower sign in which patients stand from a sitting position by first getting on their hands and feet. Elevated creatinine phosphokinase is specific for muscu - lar dystrophy (250 times above normal). Histologically, there is muscle fiber degeneration and proliferation of adipose tissue."
"A 35-year-old woman present with muscular weakness affecting the facial muscles, ptosis, and diplopia. Laboratory findings show autoantibodies against the ace - tylcholine (ACh) receptors. What is the diagnosis?",A. Eaton–Lambert syndrome,B. Myasthenia gravis,C. Botulism,D. Basilar artery thrombosis,E. Cavernous sinus syndrome,552.0,B. Myasthenia gravis,"Myasthenia gravis is an autoimmune disease in which antibodies attack the nicotinic ACh receptors. In myas - thenia gravis, acetylcholine receptor (AChR) antibodies are found in about 80–85% of patients. Patients present with weakness which worsen during the periods of activ - ity and improve during the period of rest. If left untreated, myasthenia gravis can lead to respiratory failure. Diagnosis is confirmed by Tensilon test. Administration of edrophonium a short acting ACh inhibitor rapidly improves symptoms in myasthenia gravis."
